Currency,,Amount Owned,Price,Value,Percent of portfolio,Total Portfolio Value
CRYT,0.00000441,,,,,
CS,0.04661132,,,,,
CSC,0.00050368,,,,,
CSCJ,0.01795667,,,,,
CSE,0.05593503,,,,,
CSNP,0.06733752,,,,,
CSOUL,0.00021621,,,,,
CSP,0.00299657,,,,,
CSPN,0.15622304,,,,,
CSTL,0.00080805,,,,,
CTAG,0.49850544,,,,,
CTG,0.0025,,,,,
CTL,0.0016161,,,,,
CTSI,0.0327304,,,,,
CTXC,0.1122367,,,,,
CUBITS,0.00035913,,,,,
CUR,0.27976638,,,,,
CURE,0.05889786,,,,,
CUTE,0.14195647,,,,,
CV,0.00023697,,,,,
CVA,0.21996614,,,,,
CVC,0.02519442,,,,,
CVCC,7.20134354,,,,,
CVCOIN,0.03375854,,,,,
CVNT,0.01090363,,,,,
CVT,0.03835509,,,,,
CWN,0.0002485,,,,,
CWV,0.00425214,,,,,
CXO,0.02629051,,,,,
CYB,0.01520876,,,,,
CYBEREITS,0.00077585,,,,,
CYFM,0.00000042,,,,,
CYL,0.00462659,,,,,
CZR,0.0043706,,,,,
DAC,0.00909027,,,,,
DACC,0.00001865,,,,,
DADI,0.03022572,,,,,
DAG,0.00636625,,,,,
DAGT,0.11633814,,,,,
DAI,1.00713885,,,,,
DAM,0.08807747,,,,,
DANG,0.00020739,,,,,
DAPPT,0.00069787,,,,,
DAPS,0.0000967,,,,,
DASH,67.42498834,,,,,
DASHD,0.01633504,,,,,
DASHG,0.00255883,,,,,
DAT,0.00097417,,,,,
DATA,0.04576049,,,,,
DATX,0.00029298,,,,,
DAV,0.00023387,,,,,
DAVP,0.56491307,,,,,
DAWN,0.11316034,,,,,
DAX,0.00376269,,,,,
DAY,0.1322509,,,,,
DBC,0.00074692,,,,,
DBIX,0.03887619,,,,,
DBT,0.00004633,,,,,
DBTC,0.00023386,,,,,
DCH,0.01301859,,,,,
DCN,0.00000423,,,,,
DCR,13.92873166,,,,,
DCT,0.00849328,,,,,
DCW,0.00008978,,,,,
DCY,0.0005387,,,,,
DDAM,0.02649722,,,,,
DDK,2.76744233,,,,,
DDN,0.0063339,,,,,
DDR,0.67876218,,,,,
DEAL,0.00008978,,,,,
DEC,0.10102231,,,,,
DEEP,0.00037506,,,,,
DEEX,0.00769113,,,,,
DEL,0.00043243,,,,,
DEMA,0.00012796,,,,,
DENT,0.00019237,,,,,
DEQ,0.00017957,,,,,
DERO,0.54778688,,,,,
DEV,0.0087134,,,,,
DEX,0.00736224,,,,,
DFN,8.86558379,,,,,
DGB,0.01770627,,,,,
DGC,0.00207267,,,,,
DGD,42.68415146,,,,,
DGM,0.00028731,,,,,
DGTX,0.04193141,,,,,
DGX,56.40270338,,,,,
DIG,0.00001,,,,,
DIME,0.00000221,,,,,
DIN,0.00010774,,,,,
DIP,0.00440064,,,,,
DISK,0.0002736,,,,,
DIT,0.00130241,,,,,
DIVI,0.04528149,,,,,
DIVO,0.00017957,,,,,
DKYC,0.01493878,,,,,
DLN,0.00187591,,,,,
DLT,0.03424718,,,,,
DLX,0.00529722,,,,,
DMB,0.00017957,,,,,
DMG,0.83752002,,,,,
DMME,0.0048486,,,,,
DMT,0.14205871,,,,,
DNA,0.00779193,,,,,
DNA2,0.07945827,,,,,
DNR,0.21539027,,,,,
DNT,0.00628489,,,,,
